record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source
2024-01-08,W01,熔炼车间,E05,压缩空气,3238.23,m³,0.2841,920.12,260.729,吨,-6.6,正常,MES
2024-03-29,W03,热处理车间,E02,天然气,9497.734,立方米,3.4279,32557.54,90.231,吨,6.41,正常,MES
2025-09-09,W07,动力站,E04,工业水,875.463,m³,4.0362,3533.51,555.419,吨蒸汽,24.21,正常,MES
2025-04-12 00:00:00,W02,轧制车间,E03,蒸汽,38.415,t,219.3995,8428.28,305.82,吨,14.88,正常,MES
2025.05.05,W06,装配车间,E05,压缩空气,920.164,立方米,0.28,257.67,16.852,台,17.23,停产,MES
2025-01-26,W08,包装车间,E01,电力度,1827.939,kWh,0.6913,1263.67,2155.259,件,-3.78,低负荷,MES
2024-12-05,W03,热处理车间,E02,天然气,11310.36,m³,3.3259,37617.59,99.11,吨,-3.84,正常,MES
2025-07-13,W05,表面处理车间,E01,电力,9484.077,kWh,0.6793,6442.16,1512.197,平方米,26.73,低负荷,MES
2024-11-25,W01,熔炼车间,E05,压缩空气,3364.486,m³,0.2818,948.24,284.02,吨,11.59,正常,MES
2024-01-02,W04,机加工车间,E05,压缩空气,5770.461,m³,0.2844,1641.08,4287.009,件,-6.36,正常,MES
2025-03-31,W08,包装车间,E05,压缩空气,1437.682,m3,0.2775,398.9,,件,10.82,正常,MES
2024-07-11,W07,动力站,E06,柴油,186.354,kg,7.7873,1451.2,542.046,吨蒸汽,25.89,正常,MES
2024-07-30,W07,动力站,E02,天然气,12881.445,m³,3.4772,44790.83,525.648,吨蒸汽,34.45,正常,MES
2025-05-24,W04,机加工车间,E05,压缩空气,3922.312,m³,0.2713,1064.01,2754.757,件,19.83,低负荷,MES
2025-07-02,W02,轧制车间,E01,电力,44932.475,kWh,0.6673,29982.5,345.259,吨,24.6,正常,MES
2025-07-30,W08,包装车间,E05,压缩空气 ,1339.175,m³,0.2811,376.41,,件,24.59,正常,MES
2025-01-02,W05,表面处理车间,E03,蒸汽,31.063,t,215.628,6698.05,6947.099,平方米,-2.51,正常,MES
2024-06-15,W03,热处理车间,E02,天然气,6634.872,m³,3.4699,23022.64,103.401,吨,30.5,正常,MES
2025-10-10,W07,动力站,E04,工业水,964.08,m³,4.1344,3985.89,591.276,吨蒸汽,17.67,正常,MES
