年月,综合能耗_tce,能源费用_元,碳排放_tCO2,上月能耗_tce,环比_pct
2024-01,3435.96,11100978.04,7995.01,,
2024-02,2943.68,9462270.58,6794.87,3435.96,-14.33
2024-03,2800.69,9243745.10,6672.21,2943.68,-4.86
2024-04,2357.75,7920074.61,5742.35,2800.69,-15.82
2024-05,2253.28,7737571.58,5646.29,2357.75,-4.43
2024-06,2156.94,7710637.44,5691.18,2253.28,-4.28
2024-07,2298.03,8413638.02,6252.31,2156.94,6.54
2024-08,2332.73,8439389.14,6261.11,2298.03,1.51
2024-09,2249.55,7829162.62,5746.64,2332.73,-3.57
2024-10,2455.00,8213931.71,5954.10,2249.55,9.13
2024-11,2888.98,9503597.54,6877.54,2455.00,17.68
2024-12,3434.24,11195861.50,8081.44,2888.98,18.87
2025-01,3414.30,10996735.82,7917.54,3434.24,-0.58
2025-02,2971.11,9591304.05,6909.81,3414.30,-12.98
2025-03,2857.53,9399429.46,6794.77,2971.11,-3.82
2025-04,2392.46,8059500.35,5836.16,2857.53,-16.28
2025-05,2269.55,7796994.82,5679.54,2392.46,-5.14
2025-06,2208.37,7889320.88,5829.12,2269.55,-2.70
2025-07,2336.07,8544459.27,6349.22,2208.37,5.78
2025-08,2357.28,8536112.76,6332.59,2336.07,0.91
2025-09,2321.22,8105604.38,5959.66,2357.28,-1.53
2025-10,2498.15,8340461.29,6041.61,2321.22,7.62
2025-11,2934.98,9643822.12,6983.54,2498.15,17.49
2025-12,3486.05,11353924.83,8210.11,2934.98,18.78
