日期,车间,产量,单位产品能耗_kgce,车间均值,标准差,Z值
2025-01-28,包装车间,611.71,1.1827,0.0934,0.0654,16.66
2024-09-17,包装车间,638.58,1.0465,0.0934,0.0654,14.57
2025-01-29,表面处理车间,406.29,13.1829,1.3621,1.0925,10.82
2025-01-01,表面处理车间,433.74,9.8463,1.3621,1.0925,7.77
2024-09-15,表面处理车间,407.71,8.8757,1.3621,1.0925,6.88
2025-06-02,装配车间,14.79,34.2239,8.1877,4.1658,6.25
2025-10-02,装配车间,16.07,27.9988,8.1877,4.1658,4.76
2024-12-01,机加工车间,840.45,3.0924,0.8175,0.479,4.75
2025-02-01,机加工车间,255.34,3.0512,0.8175,0.479,4.66
2024-06-08,装配车间,13.86,25.7829,8.1877,4.1658,4.22
2025-10-08,机加工车间,270.00,2.8063,0.8175,0.479,4.15
2024-02-11,机加工车间,227.10,2.7226,0.8175,0.479,3.98
2025-02-16,机加工车间,930.76,2.7045,0.8175,0.479,3.94
2025-01-28,机加工车间,248.08,2.6991,0.8175,0.479,3.93
2024-06-09,装配车间,14.67,24.2486,8.1877,4.1658,3.86
2024-04-06,表面处理车间,423.86,5.5641,1.3621,1.0925,3.85
2025-01-28,装配车间,15.39,23.9426,8.1877,4.1658,3.78
2024-01-01,机加工车间,233.20,2.6171,0.8175,0.479,3.76
2024-02-11,装配车间,15.22,23.8486,8.1877,4.1658,3.76
2024-09-17,装配车间,15.42,23.6233,8.1877,4.1658,3.71
2025-01-29,装配车间,15.42,23.2849,8.1877,4.1658,3.62
2025-01-31,装配车间,15.98,23.1896,8.1877,4.1658,3.6
2024-09-17,机加工车间,241.79,2.5415,0.8175,0.479,3.6
2024-10-03,装配车间,14.86,23.1323,8.1877,4.1658,3.59
2024-06-10,装配车间,15.93,23.1281,8.1877,4.1658,3.59
2025-02-03,机加工车间,249.66,2.5271,0.8175,0.479,3.57
2025-10-05,机加工车间,230.99,2.5156,0.8175,0.479,3.55
2024-04-14,机加工车间,848.85,2.5174,0.8175,0.479,3.55
2024-10-01,机加工车间,233.16,2.5069,0.8175,0.479,3.53
2025-06-01,装配车间,16.60,22.7966,8.1877,4.1658,3.51
2024-02-17,表面处理车间,393.76,5.1803,1.3621,1.0925,3.5
2024-01-01,表面处理车间,397.25,5.1771,1.3621,1.0925,3.49
2024-02-17,装配车间,14.57,22.6502,8.1877,4.1658,3.47
2025-01-31,机加工车间,259.85,2.4660,0.8175,0.479,3.44
2024-02-14,装配车间,15.57,22.4599,8.1877,4.1658,3.43
2025-02-01,表面处理车间,391.16,5.1094,1.3621,1.0925,3.43
2025-06-01,机加工车间,257.29,2.4552,0.8175,0.479,3.42
2025-02-04,机加工车间,255.59,2.4559,0.8175,0.479,3.42
2024-02-12,机加工车间,236.51,2.4519,0.8175,0.479,3.41
2024-09-22,包装车间,2131.05,0.3164,0.0934,0.0654,3.41
2025-02-04,表面处理车间,401.93,5.0760,1.3621,1.0925,3.4
2025-01-01,装配车间,17.23,22.3396,8.1877,4.1658,3.4
2025-01-30,表面处理车间,425.74,5.0707,1.3621,1.0925,3.39
2024-10-01,装配车间,13.76,22.2618,8.1877,4.1658,3.38
2024-09-15,装配车间,16.08,22.2651,8.1877,4.1658,3.38
2025-01-31,表面处理车间,420.80,5.0383,1.3621,1.0925,3.36
2024-01-01,装配车间,17.37,22.1423,8.1877,4.1658,3.35
2024-02-12,装配车间,15.60,22.1140,8.1877,4.1658,3.34
2024-05-04,机加工车间,235.58,2.4106,0.8175,0.479,3.33
2024-02-13,机加工车间,247.12,2.4126,0.8175,0.479,3.33
