年月,能源,单位,消耗量,实际均价,参考单价,偏离_pct
2024-01,压缩空气,m³,393886.66,0.2806,0.2800,0.20
2024-02,压缩空气,m³,318733.46,0.2810,0.2800,0.34
2024-03,压缩空气,m³,390482.73,0.2797,0.2800,-0.10
2024-04,压缩空气,m³,366146.89,0.2791,0.2800,-0.31
2024-05,压缩空气,m³,369373.88,0.2793,0.2800,-0.24
2024-06,压缩空气,m³,362291.26,0.2802,0.2800,0.07
2024-07,压缩空气,m³,407564.97,0.2799,0.2800,-0.04
2024-08,压缩空气,m³,401473.22,0.2800,0.2800,-0.01
2024-09,压缩空气,m³,362714.58,0.2796,0.2800,-0.16
2024-10,压缩空气,m³,354382.40,0.2799,0.2800,-0.02
2024-11,压缩空气,m³,388267.98,0.2797,0.2800,-0.11
2024-12,压缩空气,m³,402093.14,0.2800,0.2800,-0.01
2025-01,压缩空气,m³,358647.11,0.2800,0.2800,0.00
2025-02,压缩空气,m³,341334.85,0.2805,0.2800,0.18
2025-03,压缩空气,m³,399754.59,0.2804,0.2800,0.15
2025-04,压缩空气,m³,377232.49,0.2804,0.2800,0.13
2025-05,压缩空气,m³,368281.50,0.2798,0.2800,-0.07
2025-06,压缩空气,m³,373423.99,0.2804,0.2800,0.15
2025-07,压缩空气,m³,408838.05,0.2803,0.2800,0.10
2025-08,压缩空气,m³,399785.94,0.2799,0.2800,-0.04
2025-09,压缩空气,m³,400086.71,0.2802,0.2800,0.07
2025-10,压缩空气,m³,358733.10,0.2802,0.2800,0.08
2025-11,压缩空气,m³,386498.69,0.2798,0.2800,-0.08
2025-12,压缩空气,m³,414018.05,0.2798,0.2800,-0.08
2024-01,天然气,m³,1783137.39,3.4534,3.4500,0.10
2024-02,天然气,m³,1540459.17,3.4541,3.4500,0.12
2024-03,天然气,m³,1401080.28,3.4575,3.4500,0.22
2024-04,天然气,m³,1144422.72,3.4478,3.4500,-0.06
2024-05,天然气,m³,1053342.63,3.4413,3.4500,-0.25
2024-06,天然气,m³,939013.36,3.4500,3.4500,0.00
2024-07,天然气,m³,955215.13,3.4518,3.4500,0.05
2024-08,天然气,m³,989771.62,3.4526,3.4500,0.08
2024-09,天然气,m³,1023635.74,3.4427,3.4500,-0.21
2024-10,天然气,m³,1199437.71,3.4501,3.4500,0.00
2024-11,天然气,m³,1446877.27,3.4515,3.4500,0.04
