年月,车间,产量单位,单位产品电耗_kWh
2024-01,熔炼车间,吨,177.4038
2024-02,熔炼车间,吨,172.0153
2024-03,熔炼车间,吨,157.8790
2024-04,熔炼车间,吨,149.6449
2024-05,熔炼车间,吨,154.6966
2024-06,熔炼车间,吨,179.2260
2024-07,熔炼车间,吨,191.9265
2024-08,熔炼车间,吨,189.6198
2024-09,熔炼车间,吨,161.4897
2024-10,熔炼车间,吨,150.1063
2024-11,熔炼车间,吨,163.8760
2024-12,熔炼车间,吨,179.1860
2025-01,熔炼车间,吨,169.6470
2025-02,熔炼车间,吨,163.2730
2025-03,熔炼车间,吨,151.6185
2025-04,熔炼车间,吨,144.0897
2025-05,熔炼车间,吨,148.1851
2025-06,熔炼车间,吨,171.0473
2025-07,熔炼车间,吨,185.2592
2025-08,熔炼车间,吨,183.0759
2025-09,熔炼车间,吨,160.7955
2025-10,熔炼车间,吨,144.7032
2025-11,熔炼车间,吨,153.7525
2025-12,熔炼车间,吨,168.5640
2024-01,轧制车间,吨,128.2642
2024-02,轧制车间,吨,125.2521
2024-03,轧制车间,吨,114.2492
2024-04,轧制车间,吨,109.6235
2024-05,轧制车间,吨,112.8482
2024-06,轧制车间,吨,129.0852
2024-07,轧制车间,吨,140.6086
2024-08,轧制车间,吨,139.5054
2024-09,轧制车间,吨,120.5865
2024-10,轧制车间,吨,110.7633
2024-11,轧制车间,吨,116.3887
2024-12,轧制车间,吨,129.1052
2025-01,轧制车间,吨,126.5812
2025-02,轧制车间,吨,125.8393
2025-03,轧制车间,吨,113.6606
2025-04,轧制车间,吨,106.7320
2025-05,轧制车间,吨,110.7424
2025-06,轧制车间,吨,127.2816
2025-07,轧制车间,吨,136.6202
2025-08,轧制车间,吨,131.6944
2025-09,轧制车间,吨,116.0804
2025-10,轧制车间,吨,107.6887
2025-11,轧制车间,吨,117.6275
2025-12,轧制车间,吨,128.5248
2024-01,热处理车间,吨,300.3672
2024-02,热处理车间,吨,289.3951
2024-03,热处理车间,吨,262.2770
2024-04,热处理车间,吨,252.9728
