record_date,workshop_code,energy_code,consumption,unit,unit_price,cost,record_status,avg_temperature,data_source,is_production_day
2024-01-08,W01,E05,3238.23,m³,0.2841,920.12,正常,-6.6,MES,1
2024-03-29,W03,E02,9497.734,m³,3.4279,32557.54,正常,6.41,MES,1
2025-09-09,W07,E04,875.463,m³,4.0362,3533.51,正常,24.21,MES,1
2025-04-12,W02,E03,38.415,t,219.3995,8428.28,正常,14.88,MES,1
2025-05-05,W06,E05,920.164,m³,0.28,257.67,停产,17.23,MES,0
2025-01-26,W08,E01,1827.939,kWh,0.6913,1263.67,低负荷,-3.78,MES,1
2024-12-05,W03,E02,11310.36,m³,3.3259,37617.59,正常,-3.84,MES,1
2025-07-13,W05,E01,9484.077,kWh,0.6793,6442.16,低负荷,26.73,MES,1
2024-11-25,W01,E05,3364.486,m³,0.2818,948.24,正常,11.59,MES,1
2024-01-02,W04,E05,5770.461,m³,0.2844,1641.08,正常,-6.36,MES,1
2025-03-31,W08,E05,1437.682,m³,0.2775,398.9,正常,10.82,MES,1
2024-07-11,W07,E06,186.354,kg,7.7873,1451.2,正常,25.89,MES,1
2024-07-30,W07,E02,12881.445,m³,3.4772,44790.83,正常,34.45,MES,1
2025-05-24,W04,E05,3922.312,m³,0.2713,1064.01,低负荷,19.83,MES,1
2025-07-02,W02,E01,44932.475,kWh,0.6673,29982.5,正常,24.6,MES,1
2025-07-30,W08,E05,1339.175,m³,0.2811,376.41,正常,24.59,MES,1
2025-01-02,W05,E03,31.063,t,215.628,6698.05,正常,-2.51,MES,1
2024-06-15,W03,E02,6634.872,m³,3.4699,23022.64,正常,30.5,MES,1
2025-10-10,W07,E04,964.08,m³,4.1344,3985.89,正常,17.67,MES,1
2024-06-10,W01,E04,236.941,m³,4.1505,983.43,正常,28.09,MES,1
2024-05-21,W04,E04,63.791,m³,4.0722,259.77,正常,20.43,MES,1
2024-05-20,W07,E06,172.966,kg,7.93,1371.62,正常,26.03,MES,1
2025-11-29,W01,E04,258.187,m³,4.0192,1037.7,正常,8.16,MES,1
2025-02-18,W05,E04,425.883,m³,4.0245,1713.98,正常,1.59,MES,1
2025-07-17,W08,E01,6379.236,kWh,0.686,4376.44,正常,25.33,MES,1
2024-10-30,W06,E01,11413.87,kWh,0.6713,7662.58,正常,14.88,MES,1
2025-12-23,W03,E02,12797.197,m³,3.5414,45320.32,正常,0.8,MES,1
2024-06-10,W02,E02,4399.341,m³,3.4683,15258.03,正常,28.09,MES,1
2024-11-03,W08,E05,437.098,m³,0.2832,123.8,低负荷,1.52,MES,1
2024-08-31,W02,E03,34.126,t,215.7592,7363.08,正常,25.51,MES,1
2025-07-25,W04,E01,25019.491,kWh,0.6817,17055.43,正常,28.47,MES,1
2025-05-04,W02,E02,4586.89,m³,3.5292,16187.83,正常,22.87,MES,1
2024-07-20,W06,E01,10000.778,kWh,0.6921,6921.48,低负荷,26.83,MES,1
2025-03-08,W01,E01,43086.228,kWh,0.6651,28658.38,正常,5.65,MES,1
2025-12-09,W02,E01,48723.098,kWh,0.6733,32806.58,正常,-3.52,MES,1
2025-06-15,W07,E04,915.125,m³,4.183,3827.97,正常,24.21,MES,1
2025-01-04,W08,E05,893.4,m³,0.275,245.69,低负荷,-4.7,MES,1
2025-02-06,W07,E06,196.313,kg,7.7666,1524.7,正常,-3.16,MES,1
2025-04-12,W02,E02,5754.714,m³,3.548,20417.61,正常,14.88,MES,1
2024-09-17,W03,E01,23966.885,kWh,0.6537,15666.99,正常,21.27,MES,1
2025-11-25,W01,E05,2944.431,m³,0.2779,818.12,正常,2.72,MES,1
2025-05-22,W02,E03,38.249,t,212.4401,8125.55,正常,19.17,MES,1
2025-09-27,W01,E02,8064.708,m³,3.3771,27235.29,正常,22.54,MES,1
2025-03-29,W01,E02,10818.869,m³,3.4949,37810.57,正常,5.68,MES,1
2024-02-18,W06,E01,4083.437,kWh,0.6824,2786.45,低负荷,-4.68,MES,1
2025-09-12,W08,E05,1492.563,m³,0.2747,410.03,正常,25.67,MES,1
2024-02-08,W02,E01,37665.213,kWh,0.6623,24946.7,正常,-4.7,MES,1
2024-01-08,W04,E05,5803.302,m³,0.2803,1626.45,正常,-6.6,MES,1
2024-12-05,W07,E01,10530.121,kWh,0.6834,7196.81,正常,-3.84,MES,1
2024-06-11,W05,E04,422.918,m³,3.9692,1678.65,正常,23.31,MES,1
2025-04-23,W07,E04,1049.425,m³,4.1539,4359.25,正常,15.46,MES,1
2024-09-27,W01,E05,3508.638,m³,0.2764,969.81,正常,19.57,MES,1
2024-06-02,W02,E04,167.786,m³,4.1445,695.39,正常,25.87,MES,1
2025-04-09,W05,E01,21476.33,kWh,0.6982,14995.02,正常,12.52,MES,1
2025-07-05,W01,E02,6892.063,m³,3.4373,23689.8,正常,25.11,MES,1
2024-01-28,W02,E01,39107.598,kWh,0.6705,26219.74,正常,-3.56,MES,1
2024-05-25,W05,E03,16.262,t,221.9857,3609.93,低负荷,20.67,MES,1
2024-10-08,W07,E01,8383.559,kWh,0.6711,5626.27,正常,15.09,MES,1
2024-01-03,W01,E05,3430.146,m³,0.2818,966.66,正常,-6.16,MES,1
2025-08-02,W02,E04,185.774,m³,4.097,761.12,正常,25.78,MES,1
2025-09-13,W02,E03,36.105,t,214.1589,7732.25,正常,22.08,MES,1
2025-04-29,W02,E03,40.647,t,224.7566,9135.65,正常,19.74,MES,1
2024-02-04,W04,E01,7424.29,kWh,0.6904,5125.58,低负荷,1.63,MES,1
2025-12-26,W04,E05,5715.674,m³,0.2827,1616.02,正常,-2.76,MES,1
2025-04-18,W03,E03,26.376,t,222.0119,5855.79,正常,18.14,MES,1
