record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source,year_month,fix_reason
2025-04-18,W03,热处理车间,E03,蒸汽,26.376,t,222.0119,5855.79,94.908,吨,18.14,正常,MES,2025-04,费用重算
2024-10-09,W08,包装车间,E01,电力,4811.034,kWh,0.6624,3186.83,10013.099,件,16.68,正常,MES,2024-10,消耗量插补
2025-01-08,W03,热处理车间,E01,电力,29203.006999999998,kWh,0.6848,19762.42,101.132,吨,-6.83,正常,MES,2025-01,消耗量插补
2024-10-07,W05,表面处理车间,E02,天然气,229.447,m³,3.4455,772.77,425.855,平方米,11.35,停产,MES,2024-10,单价插补
2024-03-03,W05,表面处理车间,E02,天然气,389.19,m³,3.453,1349.9,1366.618,平方米,8.11,低负荷,MES,2024-03,单价插补
2024-03-23,W01,熔炼车间,E04,工业水,267.058,m³,4.0993,1070.18,289.561,吨,3.71,正常,MES,2024-03,单价插补
2025-01-06,W04,机加工车间,E01,电力,19576.123,kWh,0.6714,13143.41,4492.309,件,-6.05,正常,MES,2025-01,消耗量插补
2024-08-07,W04,机加工车间,E01,电力,21304.821,kWh,0.6823,14642.93,4148.979,件,26.18,正常,MES,2024-08,消耗量插补
2024-12-16,W05,表面处理车间,E04,工业水,447.907,m³,4.0998,1799.68,7579.819,平方米,1.83,正常,MES,2024-12,单价插补
2024-08-15,W03,热处理车间,E03,蒸汽,24.526000000000003,t,222.023,5615.61,94.085,吨,26.52,正常,MES,2024-08,消耗量插补
2025-08-22,W03,热处理车间,E03,蒸汽,24.926000000000002,t,221.0176,5509.08,92.536,吨,26.57,正常,MES,2025-08,消耗量插补
2024-06-01,W07,动力站,E01,电力,9211.747,kWh,0.7012,6459.28,519.51,吨蒸汽,24.16,正常,MES,2024-06,消耗量插补
2025-12-04,W04,机加工车间,E04,工业水,65.633,m³,4.1018,268.89,4663.804,件,0.95,正常,MES,2025-12,单价插补
2025-03-24,W02,轧制车间,E01,电力,38494.688,kWh,0.6787,27017.39,320.836,吨,7.35,正常,MES,2025-03,单价插补
2025-01-20,W06,装配车间,E05,压缩空气,4002.881,m³,0.2839,1136.42,300.312,台,-4.01,正常,MES,2025-01,消耗量插补
2025-12-01,W03,热处理车间,E03,蒸汽,36.843,t,219.2779,8067.19,101.405,吨,-2.91,正常,MES,2025-12,单价插补
2024-10-19,W05,表面处理车间,E02,天然气,795.412,m³,3.4526,2746.24,4368.524,平方米,15.47,低负荷,MES,2024-10,消耗量插补
2025-11-22,W01,熔炼车间,E05,压缩空气,3022.599,m³,0.2801,840.91,284.611,吨,8.73,正常,MES,2025-11,单价插补
2025-08-13,W05,表面处理车间,E02,天然气,681.2635,m³,3.4706,2364.39,7267.721,平方米,29.17,正常,MES,2025-08,消耗量插补
2024-07-12,W05,表面处理车间,E01,电力,28393.094,kWh,0.6824,19375.45,7207.854,平方米,29.83,正常,MES,2024-07,费用重算
2025-06-14,W05,表面处理车间,E02,天然气,674.926,m³,3.4418,2322.96,4268.698,平方米,26.18,低负荷,MES,2025-06,消耗量插补
2024-07-26,W07,动力站,E02,天然气,12178.821,m³,3.4627,42171.6,557.834,吨蒸汽,26.29,正常,MES,2024-07,消耗量插补
2024-12-20,W02,轧制车间,E04,工业水,179.4335,m³,4.1386,742.6,340.222,吨,0.04,正常,MES,2024-12,消耗量插补
2024-01-07,W05,表面处理车间,E02,天然气,463.238,m³,3.45115,1600.3,1365.532,平方米,-2.45,低负荷,MES,2024-01,单价插补
2024-07-14,W07,动力站,E06,柴油,182.719,kg,7.8575,1441.91,522.009,吨蒸汽,27.51,正常,MES,2024-07,消耗量插补
2024-06-14,W06,装配车间,E05,压缩空气,4444.323,m³,0.27995000000000003,1225.28,280.049,台,24.75,正常,MES,2024-06,单价插补
2024-04-07,W06,装配车间,E05,压缩空气,4088.353,m³,0.2803,1145.97,50.384,台,11.39,低负荷,MES,2024-04,消耗量插补
2024-07-18,W03,热处理车间,E02,天然气,6580.4935000000005,m³,3.4224,22411.97,87.502,吨,26.39,正常,MES,2024-07,消耗量插补
