record_date,workshop_code,output_qty,output_unit
2024-01-01,W01,226.042,吨
2024-01-01,W02,282.258,吨
2024-01-01,W03,81.176,吨
2024-01-01,W04,233.201,件
2024-01-01,W05,397.251,平方米
2024-01-01,W06,17.374,台
2024-01-01,W07,443.806,吨蒸汽
2024-01-01,W08,588.724,件
2024-01-02,W01,250.538,吨
2024-01-02,W02,292.874,吨
2024-01-02,W03,93.378,吨
2024-01-02,W04,4287.009,件
2024-01-02,W05,6708.954,平方米
2024-01-02,W06,291.988,台
2024-01-02,W07,554.994,吨蒸汽
2024-01-02,W08,10157.383,件
2024-01-03,W01,252.322,吨
2024-01-03,W02,339.874,吨
2024-01-03,W03,106.621,吨
2024-01-03,W04,3888.291,件
2024-01-03,W05,6473.63,平方米
2024-01-03,W06,279.188,台
2024-01-03,W07,566.152,吨蒸汽
2024-01-03,W08,9786.359,件
2024-01-04,W01,286.368,吨
2024-01-04,W02,347.325,吨
2024-01-04,W03,101.681,吨
2024-01-04,W04,4074.625,件
2024-01-04,W05,7258.734,平方米
2024-01-04,W06,253.457,台
2024-01-04,W07,541.218,吨蒸汽
2024-01-04,W08,9450.561,件
2024-01-05,W01,274.875,吨
2024-01-05,W02,302.243,吨
2024-01-05,W03,92.562,吨
2024-01-05,W04,4223.839,件
2024-01-05,W05,6286.847,平方米
2024-01-05,W06,285.903,台
2024-01-05,W07,537.366,吨蒸汽
2024-01-05,W08,10050.173,件
2024-01-06,W01,246.422,吨
2024-01-06,W02,333.519,吨
2024-01-06,W03,98.691,吨
2024-01-06,W04,2473.41,件
2024-01-06,W05,4163.18,平方米
2024-01-06,W06,148.417,台
2024-01-06,W07,501.426,吨蒸汽
2024-01-06,W08,6037.956,件
2024-01-07,W01,261.433,吨
2024-01-07,W02,306.988,吨
2024-01-07,W03,85.043,吨
2024-01-07,W04,873.293,件
2024-01-07,W05,1365.532,平方米
2024-01-07,W06,51.409,台
2024-01-07,W07,494.259,吨蒸汽
2024-01-07,W08,1917.682,件
2024-01-08,W01,260.729,吨
2024-01-08,W02,332.893,吨
2024-01-08,W03,91.657,吨
2024-01-08,W04,4120.857,件
2024-01-08,W05,6623.299,平方米
2024-01-08,W06,237.939,台
2024-01-08,W07,527.915,吨蒸汽
2024-01-08,W08,10136.042,件
2024-01-09,W01,248.377,吨
2024-01-09,W02,303.111,吨
2024-01-09,W03,90.461,吨
2024-01-09,W04,4470.299,件
2024-01-09,W05,7512.724,平方米
2024-01-09,W06,256.14,台
2024-01-09,W07,469.975,吨蒸汽
2024-01-09,W08,9761.417,件
2024-01-10,W01,255.57,吨
2024-01-10,W02,288.064,吨
2024-01-10,W03,97.931,吨
2024-01-10,W04,4279.848,件
2024-01-10,W05,7093.631,平方米
2024-01-10,W06,256.01,台
2024-01-10,W07,568.271,吨蒸汽
2024-01-10,W08,9790.071,件
2024-01-11,W01,242.787,吨
2024-01-11,W02,332.414,吨
2024-01-11,W03,103.176,吨
2024-01-11,W04,4532.782,件
2024-01-11,W05,6008.35,平方米
2024-01-11,W06,238.929,台
2024-01-11,W07,506.754,吨蒸汽
2024-01-11,W08,9302.374,件
2024-01-12,W01,257.837,吨
2024-01-12,W02,314.868,吨
2024-01-12,W03,91.693,吨
2024-01-12,W04,4325.624,件
2024-01-12,W05,6095.271,平方米
2024-01-12,W06,257.189,台
2024-01-12,W07,508.839,吨蒸汽
2024-01-12,W08,9828.488,件
2024-01-13,W01,268.866,吨
2024-01-13,W02,326.245,吨
2024-01-13,W03,100.214,吨
2024-01-13,W04,2670.733,件
2024-01-13,W05,4192.867,平方米
2024-01-13,W06,164.453,台
2024-01-13,W07,525.541,吨蒸汽
2024-01-13,W08,6026.467,件
2024-01-14,W01,260.855,吨
2024-01-14,W02,295.531,吨
2024-01-14,W03,101.583,吨
2024-01-14,W04,830.195,件
2024-01-14,W05,1304.772,平方米
2024-01-14,W06,55.857,台
2024-01-14,W07,507.833,吨蒸汽
2024-01-14,W08,1894.035,件
2024-01-15,W01,252.585,吨
2024-01-15,W02,313.358,吨
2024-01-15,W03,97.278,吨
2024-01-15,W04,4093.591,件
2024-01-15,W05,7518.564,平方米
2024-01-15,W06,280.637,台
2024-01-15,W07,516.447,吨蒸汽
2024-01-15,W08,10067.254,件
2024-01-16,W01,248.44,吨
2024-01-16,W02,357.549,吨
2024-01-16,W03,92.996,吨
2024-01-16,W04,4079.59,件
2024-01-16,W05,6941.77,平方米
2024-01-16,W06,261.437,台
2024-01-16,W07,505.481,吨蒸汽
2024-01-16,W08,10153.946,件
2024-01-17,W01,294.129,吨
2024-01-17,W02,324.66,吨
2024-01-17,W03,94.573,吨
2024-01-17,W04,4197.504,件
2024-01-17,W05,7232.99,平方米
2024-01-17,W06,257.117,台
2024-01-17,W07,511.998,吨蒸汽
2024-01-17,W08,9810.953,件
2024-01-18,W01,262.472,吨
2024-01-18,W02,348.513,吨
2024-01-18,W03,97.073,吨
2024-01-18,W04,4381.469,件
2024-01-18,W05,6579.915,平方米
2024-01-18,W06,245.991,台
2024-01-18,W07,580.334,吨蒸汽
2024-01-18,W08,10063.067,件
2024-01-19,W01,260.156,吨
2024-01-19,W02,330.102,吨
2024-01-19,W03,93.732,吨
2024-01-19,W04,4298.868,件
2024-01-19,W05,6802.029,平方米
2024-01-19,W06,250.321,台
2024-01-19,W07,574.052,吨蒸汽
2024-01-19,W08,9892.318,件
2024-01-20,W01,253.212,吨
2024-01-20,W02,334.724,吨
2024-01-20,W03,95.831,吨
