record_date,workshop_code,tce,co2_t,cost_yuan,unit_energy_kgce
2024-01-01,W01,21.472402,49.982017,72798.46,94.993
2024-01-01,W02,20.04751,52.260673,64599.13,71.0255
2024-01-01,W03,20.352374,46.006197,61493.22,250.7191
2024-01-01,W04,0.610285,2.580578,3449.95,2.617
2024-01-01,W05,2.056625,6.43111,7679.85,5.1771
2024-01-01,W06,0.384664,1.627251,2191.24,22.1402
2024-01-01,W07,29.528946,51.33264,82403.82,66.5357
2024-01-01,W08,0.137426,0.592992,775.08,0.2334
2024-01-02,W01,23.300812,55.162233,80691.87,93.0031
2024-01-02,W02,22.596925,56.912302,72238.65,77.1558
2024-01-02,W03,23.57992,53.443719,71772.66,252.5212
2024-01-02,W04,2.963279,12.629828,16960.45,0.6912
2024-01-02,W05,8.135362,26.218734,30962.57,1.2126
2024-01-02,W06,1.816818,7.654094,10184.09,6.2222
2024-01-02,W07,33.344429,57.793425,92987.37,60.0807
2024-01-02,W08,0.736786,3.154009,4181.07,0.0725
2024-01-03,W01,23.041176,53.068786,76446.02,91.3166
2024-01-03,W02,23.497815,60.050732,75291.18,69.1368
2024-01-03,W03,23.671003,54.186407,71177.31,222.0107
2024-01-03,W04,2.648004,11.24662,14916.64,0.681
2024-01-03,W05,7.8613,25.110688,29109.08,1.2144
2024-01-03,W06,1.85144,7.841738,10710.25,6.6315
2024-01-03,W07,29.413064,51.324982,82676.14,51.9526
2024-01-03,W08,0.755645,3.259583,4249.45,0.0772
2024-01-04,W01,24.047857,55.054924,79134.38,83.9754
2024-01-04,W02,21.437702,55.048444,69885.11,61.7223
2024-01-04,W03,24.127239,54.084151,70877.82,237.2837
2024-01-04,W04,2.698917,11.419431,15634.8,0.6624
2024-01-04,W05,7.769484,25.058114,30074.54,1.0704
2024-01-04,W06,1.836869,7.743084,10340.64,7.2473
2024-01-04,W07,35.436903,61.363885,98005.95,65.4762
2024-01-04,W08,0.752218,3.220521,4166.52,0.0796
2024-01-05,W01,24.097215,54.987438,79968.58,87.6661
2024-01-05,W02,21.183184,54.325022,68065.65,70.0866
2024-01-05,W03,22.956926,52.76502,69243.2,248.0167
2024-01-05,W04,2.711134,11.536937,15607.72,0.6419
2024-01-05,W05,7.738987,24.916733,29670.34,1.231
2024-01-05,W06,1.850971,7.90434,10399.51,6.4741
2024-01-05,W07,29.788864,52.092025,85141.47,55.435
2024-01-05,W08,0.802361,3.460397,4467.5,0.0798
2024-01-06,W01,23.286423,54.456013,77969.84,94.4981
2024-01-06,W02,21.482359,55.675798,69724.89,64.4112
2024-01-06,W03,22.14135,51.436424,68552.61,224.3502
2024-01-06,W04,1.905803,8.073188,10859.79,0.7705
2024-01-06,W05,5.353854,16.858586,20270.36,1.286
2024-01-06,W06,1.217414,5.111643,6974.58,8.2027
2024-01-06,W07,31.514728,54.509948,88897.34,62.8502
