record_date,workshop_code,tce,co2_t,cost_yuan,unit_energy_kgce
2024-01-01,W01,21.4724,49.982,72798.46,94.99297
2024-01-01,W02,20.0475,52.261,64599.13,71.02548
2024-01-01,W03,20.3524,46.006,61493.22,250.71910
2024-01-01,W04,0.6103,2.581,3449.95,2.61699
2024-01-01,W05,2.0566,6.431,7679.85,5.17714
2024-01-01,W06,0.3847,1.627,2191.24,22.14021
2024-01-01,W07,29.5289,51.333,82403.82,66.53571
2024-01-01,W08,0.1374,0.593,775.08,0.23343
2024-01-02,W01,23.3008,55.162,80691.87,93.00311
2024-01-02,W02,22.5969,56.912,72238.65,77.15579
2024-01-02,W03,23.5799,53.444,71772.66,252.52115
2024-01-02,W04,2.9633,12.630,16960.45,0.69122
2024-01-02,W05,8.1354,26.219,30962.57,1.21261
2024-01-02,W06,1.8168,7.654,10184.09,6.22224
2024-01-02,W07,33.3444,57.793,92987.37,60.08070
2024-01-02,W08,0.7368,3.154,4181.07,0.07254
2024-01-03,W01,23.0412,53.069,76446.02,91.31656
2024-01-03,W02,23.4978,60.051,75291.18,69.13684
2024-01-03,W03,23.6710,54.186,71177.31,222.01070
2024-01-03,W04,2.6480,11.247,14916.64,0.68102
2024-01-03,W05,7.8613,25.111,29109.08,1.21436
2024-01-03,W06,1.8514,7.842,10710.25,6.63152
2024-01-03,W07,29.4131,51.325,82676.14,51.95259
2024-01-03,W08,0.7556,3.260,4249.45,0.07721
2024-01-04,W01,24.0479,55.055,79134.38,83.97536
2024-01-04,W02,21.4377,55.048,69885.11,61.72231
2024-01-04,W03,24.1272,54.084,70877.82,237.28365
2024-01-04,W04,2.6989,11.419,15634.80,0.66237
2024-01-04,W05,7.7695,25.058,30074.54,1.07036
2024-01-04,W06,1.8369,7.743,10340.64,7.24726
2024-01-04,W07,35.4369,61.364,98005.95,65.47621
2024-01-04,W08,0.7522,3.221,4166.52,0.07960
2024-01-05,W01,24.0972,54.987,79968.58,87.66608
2024-01-05,W02,21.1832,54.325,68065.65,70.08660
2024-01-05,W03,22.9569,52.765,69243.20,248.01675
2024-01-05,W04,2.7111,11.537,15607.72,0.64186
2024-01-05,W05,7.7390,24.917,29670.34,1.23098
2024-01-05,W06,1.8510,7.904,10399.51,6.47412
2024-01-05,W07,29.7889,52.092,85141.47,55.43496
2024-01-05,W08,0.8024,3.460,4467.50,0.07984
2024-01-06,W01,23.2864,54.456,77969.84,94.49815
2024-01-06,W02,21.4824,55.676,69724.89,64.41120
2024-01-06,W03,22.1414,51.436,68552.61,224.35024
2024-01-06,W04,1.9058,8.073,10859.79,0.77052
2024-01-06,W05,5.3539,16.859,20270.36,1.28600
2024-01-06,W06,1.2174,5.112,6974.58,8.20266
2024-01-06,W07,31.5147,54.510,88897.34,62.85021
2024-01-06,W08,0.5360,2.306,2998.66,0.08877
2024-01-07,W01,22.9226,53.883,77512.90,87.68071
2024-01-07,W02,19.4390,51.160,63448.91,63.32166
2024-01-07,W03,23.2950,52.192,69687.16,273.92011
2024-01-07,W04,0.8783,3.720,5006.12,1.00577
